"Object Count","Layer Name","Object Name","Object ID","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"1","centres","","00190ae6-fee6-422b-992d-643a787ee775","point","17655.119164,21256.277108,0.000000","","","",""
"2","centres","","0029427f-f50e-4999-a81f-e8ee0870931f","point","16669.264746,20140.752568,0.000000","","","",""
"3","centres","","00d8eb48-e43d-47ae-8be5-a4dc04ce7fea","point","19359.870211,20946.071722,0.000000","","","",""
"4","centres","","00f987d0-ebba-47c0-b5ad-8c9a1a11ab38","point","15337.681911,20981.271532,0.000000","","","",""
"5","centres","","01b3c1e9-dd7f-4fb2-a259-2ad21b9a8f35","point","17261.799417,19210.222040,0.000000","","","",""
"6","centres","","01bd7498-c35d-497f-a47e-499ed2fe5ffa","point","16105.794643,19092.572533,0.000000","","","",""
"7","centres","","021c13e9-9614-4aa6-9eef-3c8a424eee91","point","14794.056362,21211.522525,0.000000","","","",""
"8","centres","","022e2890-c173-4fdd-9cf7-d0b871e80fec","point","16386.732474,20361.056335,0.000000","","","",""
"9","centres","","0275a01c-3564-4f47-8c8e-14d60537c379","point","19125.054216,20750.445522,0.000000","","","",""
"10","centres","","02a64a0a-7a7f-469e-ab8d-29cc717bdd1b","point","17989.702217,20596.850173,0.000000","","","",""
"11","centres","","02c44847-32d5-4489-bedf-baa6aafb26fb","point","15677.102321,21321.899955,0.000000","","","",""
"12","centres","","02ede89c-1b10-473b-b576-7345e1d83ce0","point","18307.841480,20122.893887,0.000000","","","",""
"13","centres","","02f87f86-9f88-4aad-859b-0b1f287f94e1","point","15439.561395,20960.776777,0.000000","","","",""
"14","centres","","035c7c75-93e3-4bf2-9b9f-a8dfe2519c5f","point","14650.812405,21794.967099,0.000000","","","",""
"15","centres","","04b112b3-7439-465d-8176-97ab7e863bad","point","17750.007472,20616.475043,0.000000","","","",""
"16","centres","","04b7c2b0-80d7-47cd-a9b3-45461a2126c4","point","18069.394227,20162.278591,0.000000","","","",""
"17","centres","","04f0e936-90cd-4cd2-8838-fdfa31921e78","point","16033.140978,18971.502044,0.000000","","","",""
"18","centres","","0505bcac-80ed-4b43-8cb7-9105caecbe47","point","18750.391692,21584.074485,0.000000","","","",""
"19","centres","","05b75c9d-be01-4ca9-ab65-9bfeba58294e","point","17246.352141,20464.885233,0.000000","","","",""
"20","centres","","06042320-3a19-491e-9cb6-06cb76df4faf","point","14981.480954,21629.218619,0.000000","","","",""
"21","centres","","0628eccb-bd35-45f5-a305-946dbca29d35","point","15736.473235,19902.247999,0.000000","","","",""
"22","centres","","06adb85c-6fd2-4a25-9a37-99cade8cf616","point","15019.140709,21000.570907,0.000000","","","",""
"23","centres","","07072639-3ce6-4f4a-9331-747fd76d99ad","point","15775.467895,19807.852967,0.000000","","","",""
"24","centres","","0778856d-851c-4d85-8087-86ddbfcf8fb2","point","15097.484159,21069.997637,0.000000","","","",""
"25","centres","","07a438e8-c93d-4f23-aeeb-c478b5f4d35a","point","18042.516791,20745.197785,0.000000","","","",""
"26","centres","","07b8d6b4-9a5f-4df5-8dd2-0fb182f19f5e","point","18913.594848,21195.337576,0.000000","","","",""
"27","centres","","07d53948-0e20-446b-abab-cfcbae7a400d","point","16243.000240,19702.868275,0.000000","","","",""
"28","centres","","07d555bb-be7b-4553-a455-b1512db26b4a","point","18789.312149,20852.606409,0.000000","","","",""
"29","centres","","07dbad92-6c06-4623-a027-277a562cff23","point","16426.654949,19083.181593,0.000000","","","",""
"30","centres","","09776a86-8634-4808-886a-4d06baf9d5c7","point","19207.920048,20757.916242,0.000000","","","",""
"31","centres","","0a072fc7-916e-4876-b0be-edd5b9963965","point","16069.597879,19494.352703,0.000000","","","",""
